News#,Title Content,match,score,Polarity
30,"BULL AND BEAR GROUP A <BNBGA> CUTS FUND PAYOUTS","A, BULL",0,Neutral
31,"CALTEX TO RAISE BAHRAIN OIL PRODUCT PRICES","",0,Neutral
32,"CHARTER CO <QCHR> TO COMPLETE REORGANIZATION","",0,Neutral
33,"NASHUA <NSH> TO PURCHASE PRIVATE DISC MAKER","",0,Neutral
34,"ALTRON INC <ALRN> 4TH QTR JAN 3","",0,Neutral
35,"COLLINS FOODS <CF> MOVES UP WARRANT CONVERSION","",0,Neutral
36,"GENCORP <GY> PROPOSALS WITHDRAWN FROM MEETING","",0,Neutral
37,"WEEKLY ELECTRIC OUTPUT UP 2.4 PCT FROM 1986","",0,Neutral
38,"MONOLITHIC <MMIC> TO DROP GATE ARRAY LINE","DROP",-1,Negative
39,"API SAYS DISTILLATE STOCKS OFF 4.07 MLN BBLS, GASOLINE OFF 2.69 MLN, CRUDE UP 8.53 MLN","CRUDE",-1,Negative
40,"VERMONT FINANCIAL SERVICES <VFSC> SETS PAYOUT","",0,Neutral
41,"RESORTS INTERNATIONAL GETS BUYOUT PROPOSAL FROM KSZ CO INC","",0,Neutral
42,"VR BUSINESS BROKERS EXPANDS OPERATIONS","",0,Neutral
43,"CORRECTED - ATT <T> FORMS COMPUTER SALES GROUPS","",0,Neutral
44,"GREAT ATLANTIC AND PACIFIC TEA CO INC <GAP> DIV","GREAT",1,Positive
45,"GARTNER GROUP <GART> ACQUIRES COMTEC PROGRAM","",0,Neutral
46,"U.S. CAR SALES DOWN 3.9 PCT IN MID-MARCH","",0,Neutral
47,"RESORTS INT'L <RT.A> RECEIVES TAKEOVER OFFER","",0,Neutral
48,"CITICORP <CCI> SEES DOUBLING IN RETAIL BANK NET","",0,Neutral
49,"WD-40 CO <WDFC> 2ND QTR FEB 28 NET","",0,Neutral
50,"NASD TO BEGIN SEARCH FOR NEW PRESIDENT","",0,Neutral
51,"BRAZIL COMPUTER MARKET TO REMAIN CLOSED-MINISTER","",0,Neutral
52,"METALBANC IN OFFERING","",0,Neutral
53,"NORTHERN INDIANA PUBLIC SVC <NI> AGAIN OMITS DIV","",0,Neutral
54,"FED'S JOHNSON SAYS DOLLAR STABILIZED AFTER FED TOOK APPROPRIATE ACTION","APPROPRIATE",1,Positive
55,"FED CHAIRMAN VOLCKER SAYS BANK PROPOSALS A WORRY","A, WORRY",0,Neutral
56,"BORMAN'S INC <BRF> DECLARES QTLY DIVIDEND","",0,Neutral
57,"INTERLEUKIN-2 <ILTO> DETAILS WARRANT CONVERSION","",0,Neutral
58,"U.S. CORN ACREAGE SEEN NEAR RECORD LOW","LOW, RECORD",2,Positive
59,"KIRSCHNER <KMDC> COMPLETES PURCHASE","",0,Neutral
60,"U.S. SENATORS SEEK TO EXPAND USDA EXPORT BONUS","BONUS",1,Positive
61,"FED'S JOHNSON SAYS FED ACTED TO STABILIZE DOLLAR","STABILIZE",1,Positive
62,"XOMA <XOMA> FILES FOR PUBLIC OFFERING","",0,Neutral
63,"REPUBLIC AMERICAN <RAWC> PLANS EXCHANGE OFFER","",0,Neutral
64,"MARYLAND NATIONAL <MDNT> SEES NEW NAME","",0,Neutral
65,"VENEZUELA TO ANNOUCE PARTNER FOR COAL VENTURE","",0,Neutral
66,"GOTTSCHALKS INC <GOT> 4TH QTR NET","",0,Neutral
67,"BORG-WARNER SAYS IT DISCUSSED POSSIBLE TAKEOVER WITH IRWIN JACOBS","",0,Neutral
68,"CYCLOPS CORP SAYS CYACQ'S AMENDED OFFER RESTATES ORIGINAL CONDITIONS","",0,Neutral
69,"U.S. SUGAR QUOTA MAY BE EASED, CONGRESSMAN SAYS","SUGAR",-1,Negative
70,"MOBIL <MOB> UNIT NAMES GROUP PRESIDENT","",0,Neutral
71,"SONY <SNE> TO SHIP SAMPLE OPTICAL DISKS","",0,Neutral
72,"CALIFORNIA MICROWAVE <CMIC> TAKES 3RD QTR CHARGE","",0,Neutral
73,"CRS SIRRINE PLANS MAJOR RESTRUCTURING, WRITE OFF OF UP 43 MLN DLRS","",0,Neutral
74,"H.F. AHMANSON AND CO <AHM> QTLY DIVIDEND","",0,Neutral
75,"BORG-WARNER <BOR> TELLS OF TALKS WITH JACOBS","",0,Neutral
76,"CANADA VOWS TO FIGHT U.S. POTASH ACTION","",0,Neutral
77,"TRINTOC, UNION CARBIDE TO BUILD METHANOL PLANT","",0,Neutral
78,"ORMAND INDUSTRIES <OMD> UNIT TO REPAY DEBT","DEBT",-1,Negative
79,"VOLCKER CALLS DOLLAR SLIDE ENOUGH","ENOUGH",1,Positive
80,"NASDAQ MARCH SHORT INTEREST WAS 184.9 MLN SHRS VS 215.7 MLN SHARES IN FEBRUARY","SHORT",-1,Negative
81,"RB INDUSTRIES <RBI> COMPLETES STORE SALES","",0,Neutral
82,"TRAVELERS <TIC> UNIT SELLS MORTGAGE CERTIFICATES","",0,Neutral
83,"NASDAQ SHORT INTEREST IN MARCH FALLS","FALLS, SHORT",-2,Negative
84,"GOLDMAN SACHS SELLS SIGNET <SBK> UNIT NOTES","",0,Neutral
85,"NMS PHARMACEUTICAL <NMSI> SETS NEW BLOOD TEST","",0,Neutral
86,"AMERICAN CAN <AC> SELLS CONVERTIBLE EUROBONDS","",0,Neutral
87,"GENCORP <GY> TAKEOVER GROUP CANCELS HEARING","",0,Neutral
88,"GENCORP <GY> FIXES RIGHTS SEPARATION DATE","",0,Neutral
89,"CANADA ENERGY MINISTER TO MAKE STATEMENT","ENERGY",1,Positive
90,"AMERICAN INTERNATIONAL <AIG> SELLS AFRICAN UNIT","",0,Neutral
91,"OXFORD INDUSTRIES INC <OXM> 3RD QTR FEB 27","",0,Neutral
92,"UNION TAKES AMERICAN AIRLINES TO COURT","",0,Neutral
93,"PORTUGAL MAY HAVE PURCHASED U.S. CORN","",0,Neutral
94,"TAIWAN TENDERING THURSDAY FOR U.S. CORN","",0,Neutral
95,"SRI LANKA TENDERING OVERNIGHT FOR WHEAT","",0,Neutral
96,"BRAZIL ANNOUNCES NEW PLANNING MINISTER","",0,Neutral
97,"<DIGIGRAPHIC SYSTEMS CORP> 4TH QTR OPER LOSS","LOSS",-1,Negative
98,"BAYOU <BYOU> IN DEFINITIE MERGER AGREEMENT","",0,Neutral
99,"APACHE <APA> FILES FOR 100 MLN DLR OFFERING","",0,Neutral
100,"TRANSCONTINENTAL <TGP> FILES NEW OFFER","",0,Neutral
101,"COMPUTER IDENTICS CORP <CIDN> 4TH QTR","",0,Neutral
102,"FLEET TO ACQUIRE ASSETS OF MARK IV <IV> UNIT","",0,Neutral
103,"MIKRON INSTRUMENT CO <MIKR> 1ST QTR JAN 31","",0,Neutral
104,"GOLDEN NORTH HAS ENCOURAGING DRILL RESULTS","ENCOURAGING, GOLDEN",2,Positive
105,"UNISYS <UIS> GETS ORDER FROM SWEDEN","",0,Neutral
106,"HAWKEYE <HWKB> ISSUES PREFERENCE STOCK","ISSUES",-1,Negative
107,"AUSTN FEB ANNUAL M3 MONEY SUPPLY RISES 11.2 PCT","",0,Neutral
108,"PS GROUP <PSG>, USAIR <U> MOVE UP DEADLINE","",0,Neutral
109,"TANDON <TCOR> SAYS SEARS <S> STILL CUSTOMER","",0,Neutral
110,"MERGERS, PUBLIC OFFERS SEEN AMONG CAR DEALERS","",0,Neutral
111,"COMPREHENSIVE CARE CORP <CMPH> 3RD QTR NET","COMPREHENSIVE",1,Positive
112,"CHAPMAN <CHPN> IN RESTRUCTURING","RESTRUCTURING",1,Positive
113,"VESTAR INC <VSTR> YEAR LOSS","LOSS",-1,Negative
114,"UNIVATION INC <UNIV> EXPANDS EUROPE DISTRIBUTION","",0,Neutral
115,"<STERLING BANCORP> YEAR NET","",0,Neutral
116,"FIRST NEW HAMPSHIRE BANKS INC DIV","FIRST",1,Positive
117,"HOUSE OF FABRICS <HF> QUARTERLY DIVIDEND","",0,Neutral
118,"Bank of Japan bought 200 to 300 mln dlrs this morning, dealers said.","",0,Neutral
119,"MIAMI-Brazil and bank advisory committee agree to 60-day extension on credit lines","",0,Neutral
120,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY","MODEST",1,Positive
121,"Miami-Brazil says it expects to make no interest payments before March 31","",0,Neutral
122,"CORRECTED-MIAMI-Brazil, bank committee will transmit request for 60-day credit extension","",0,Neutral
123,"BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST","",0,Neutral
124,"JAPAN'S 1986/87 SUGAR CANE OUTPUT SEEN FALLING","FALLING, SUGAR",-2,Negative
125,"INDIAN ROCKET LAUNCH FAILS","FAILS",-1,Negative
126,"AUSTRALIA'S OPPOSITION PARTY GAINING POPULARITY","GAINING, OPPOSITION",0,Neutral
127,"WEEKS PETROLEUM LTD <WPMA.MEL> CALENDAR 1986","",0,Neutral
128,"Bank of Japan keeps intervening to hold dollar above 149 yen, brokers","",0,Neutral
129,"JAPAN INTERVENING TO KEEP DOLLAR UP, BROKERS","",0,Neutral
130,"BELL GROUP ISSUING 200 MLN IN CONVERTIBLE BONDS","",0,Neutral
131,"Current exchange rates almost within levels agreed by major nations - Sumita","",0,Neutral
132,"Sumita says major nations cooperated to stabilise currencies.","",0,Neutral
133,"THAILAND'S FOREIGN RESERVES FALL IN FEBRUARY","FALL",-1,Negative
134,"EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA","",0,Neutral
135,"N.Z. TRADE SURPLUS 119.1 MLN DLRS IN FEBRUARY","",0,Neutral
136,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE","ISSUE",1,Positive
137,"Sumita says Bank of Japan has no intention of lowering its discount rate","",0,Neutral
138,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA","",0,Neutral
139,"JARDINE MATHESON PROFITS SEEN UP SHARPLY IN 1986","SHARPLY",-1,Negative
140,"HU YAOBANG APPEARS AT CHINA PARLIAMENTARY SESSION","",0,Neutral
141,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS","GET",-1,Negative
142,"CHINA'S FIRST JOINT VENTURE BANK REPORTS PROFIT","FIRST",1,Positive
143,"BANGLADESH'S PAYMENTS DEFICIT NARROWS IN OCTOBER","",0,Neutral
144,"PEKING FACES WATER RATIONING","WATER",-1,Negative
145,"U.S.-CHINA CIGARETTE FILTER JOINT VENTURE SET UP","SET",-1,Negative
146,"TWO JAPANESE STEELMAKERS TO CUT CAPITAL SPENDING","TWO",-1,Negative
147,"NISSAN AFFILIATE TO ACQUIRE U.S. AUTOPARTS MAKER","",0,Neutral
148,"DUTCH STATE LAUNCHES NEW EIGHT YEAR BULLET AT 6-1/4 PCT - OFFICIAL","STATE",1,Positive
149,"YEN MAY RISE TO 140 TO THE DOLLAR, NIKKEIREN SAYS","",0,Neutral
150,"SINGAPORE SECURITIES MARKET CONSIDERING CHANGES","",0,Neutral
151,"NEW DUTCH BULLET STATE LOAN AT 6-1/4 PCT DUE 1995","STATE",1,Positive
152,"BRUSSELS - Ferruzzi says it will pay 630 mln dlrs to CPC International for European mills.","",0,Neutral
153,"VIETNAM TO RESETTLE 300,000 ON STATE FARMS IN 1987","STATE",1,Positive
154,"EC MINISTERS FAIL TO END DEADLOCK ON RESEARCH PLAN","DEADLOCK, FAIL",-2,Negative
155,"MADAGASCAR EXTENDS AMOCO OIL EXPLORATION AGREEMENT","",0,Neutral
156,"FERRUZZI DEAL WITH CPC WORTH 630 MLN DLRS","WORTH",1,Positive
157,"AIRLINES CAN INCREASE HONG KONG/MANILA FLIGHTS","",0,Neutral
158,"SWIRE PACIFIC LTD <SWPC.HKG> YEAR 1986","",0,Neutral
159,"BAT Industries 1986 pretax profit 1.39 billion stg vs 1.17 billion","",0,Neutral
160,"BAT INDUSTRIES PLC <BTI.L> 1986 YEAR","",0,Neutral
161,"SWIRE PLANS BONUS ISSUE ON HIGHER 1986 PROFITS","ISSUE, BONUS",2,Positive
162,"Japan Trade Ministry asks trade houses, exporters to reduce dlr sales, sources","",0,Neutral
163,"SRI LANKAN GOVERNMENT TO STOP IMPORTING SUGAR","SUGAR",-1,Negative
164,"NEW DUTCH SPECIAL ADVANCES TOTAL 4.2 BILLION","",0,Neutral
165,"DANISH FEBRUARY CONSUMER PRICES FALL 0.1 PCT","FALL",-1,Negative
166,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES","",0,Neutral
167,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS","",0,Neutral
168,"ABBEY NATIONAL HAS ONE BILLION DLR EURO CD PACT","ONE",-1,Negative
169,"ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND","ISSUES",-1,Negative
170,"MIDDLE EAST CURRENCY MARKET SEES KEY CHANGES","",0,Neutral
171,"BELGOLUX TRADE SWINGS INTO JANUARY DEFICIT","",0,Neutral
172,"GUINNESS SEEKS U.K. INJUNCTION AGAINST SAUNDERS","",0,Neutral
173,"CITIBANK LAUNCHES CURRENCY WARRANTS","",0,Neutral
174,"MALAYSIA'S FOREIGN BORROWING HELD AT 1986 LEVEL","",0,Neutral
175,"BASF U.S. PROFIT,TURNOVER BOOSTED BY ACQUISITIONS","",0,Neutral
176,"SWISS BANK NET FOREIGN ASSESTS UP IN 4TH QUARTER","",0,Neutral
177,"BICC PLC <BICC.L> 1986 YEAR","",0,Neutral
178,"TAIWAN MONEY SUPPLY RISES 48.22 PCT IN YEAR","",0,Neutral
179,"PAKISTAN SAYS AFGHAN AIR RAID KILLED ALMOST 150","KILLED",-1,Negative
180,"CHINA MUST CUT DEMAND, CONTINUE REFORMS, ZHAO SAYS","",0,Neutral
181,"NIPPON STEEL TO REDUCE DIVIDEND","",0,Neutral
182,"BAT SEES STRONG PERFORMANCE FROM ALL SECTORS","ALL, STRONG",2,Positive
183,"CHINA'S PREMIER ZHAO SAYS POLITICAL CRISIS OVER","OVER, CRISIS, PREMIER",-1,Negative
184,"TAIWAN SEES ITS INVESTMENT IN U.S. RISING SHARPLY","SHARPLY",-1,Negative
185,"BABCOCK UNIT WINS ORDER FOR VENEZUELAN POWER PLANT","WINS",1,Positive
186,"JARDINE TO JOIN CONSORTIUM FOR HK SECOND AIRPORT","SECOND",-1,Negative
187,"BABCOCK INTERNATIONAL PLC <BABK.L> YEAR 1986","",0,Neutral
188,"VEBA PLACEMENT CONTINUES FOR SMALL SHAREHOLDERS","",0,Neutral
189,"DELTA GROUP <DLTL.L> YEAR TO JAN 3.","",0,Neutral
190,"PLACER PACIFIC SAYS BIG BELL GOLD STUDY EXPANDING","GOLD",1,Positive
191,"BELGIAN PUBLIC DEBT RISES IN FEBRUARY","DEBT",-1,Negative
192,"BABCOCK EXPECTS FURTHER PROGRESS IN 1987","PROGRESS",1,Positive
193,"EGYPT BUYS 46,000 TONNES OF SUNFLOWERSEED OIL","",0,Neutral
194,"CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COSTS","",0,Neutral
195,"WEST GERMANS TO MINT COMMUNITY ANNIVERSARY COIN","",0,Neutral
196,"SINGAPORE GDP TO GROW SIX PCT IN FIRST QUARTER","FIRST",1,Positive
197,"CARGILL U.K. STRIKE TALKS TO RESUME THIS AFTERNOON","STRIKE",-1,Negative
198,"NORWAY ISSUES 60 BILLION YEN EUROBOND","ISSUES",-1,Negative
199,"BROCKWAY AIR TO BUY FIVE SAAB PLANES","",0,Neutral
200,"SAAB-SCANIA LAUNCHES 100 MLN DLR EURO-CP PROGRAM","",0,Neutral
201,"BRITISH COMPOUND FEED PRODUCTION DETAILED","",0,Neutral
202,"KLOECKNER UND CO'S 1986 PROFIT FALLS ABOUT 20 PCT","FALLS",-1,Negative
203,"MIXED ASIAN REACTION TO NEW RUBBER PACT","",0,Neutral
204,"CIBA-GEIGY, PHILLIPS PETROLEUM IN JOINT VENTURE","",0,Neutral
205,"KRUPP TO BUILD SOUTH KOREAN STEEL PLANT","",0,Neutral
206,"SWIRE EXPECTS CONTINUED GROWTH THIS YEAR","",0,Neutral
207,"UNCERTAINTY SURROUNDS EC SUGAR TENDER RESULT-TRADE","TENDER, SUGAR",0,Neutral
208,"ABU DHABI TO REOPEN GULF OILFIELD HIT IN 1986 RAID","",0,Neutral
209,"CHAD SAYS TROOPS KILLED 1,200 LIBYANS IN BATTLE","KILLED",-1,Negative
210,"RAINBOW LIFTS PROGRESSIVE STAKE TO 52 PCT","PROGRESSIVE",1,Positive
211,"BANK OF THAILAND PLANS ITS FIRST BOND ISSUE","ISSUE, FIRST",2,Positive
212,"FOREIGN BROKERS GET MORE ACCESS TO JAPANESE BONDS","GET",-1,Negative
213,"YEN MAY RISE TO 140 TO THE DLR, NIKKEIREN SAYS","",0,Neutral
214,"JAPAN BUYS MODEST AMOUNT OF DOLLARS, DEALERS SAY","MODEST",1,Positive
215,"BRAZIL/BANK COMMITTEE AGREE ON CREDIT REQUEST","",0,Neutral
216,"JAPAN DOES NOT INTEND TO CUT DISCOUNT RATE-SUMITA","",0,Neutral
217,"U.K. MONEY MARKET FORECAST REVISED TO SHOW SURPLUS","",0,Neutral
218,"BANK OF ENGLAND DOES NOT OPERATE IN MONEY MARKET","",0,Neutral
219,"BANK OF JAPAN TO SELL 300 BILLION YEN IN BILLS","",0,Neutral
220,"EXCHANGE RATES ALMOST WITHIN G-6 LEVELS - SUMITA","",0,Neutral
221,"AFGHAN BOMBING TOLL ALMOST 150","TOLL",1,Positive
222,"JAPAN ASKS TRADERS, EXPORTERS TO CUT DOLLAR SALES","",0,Neutral
223,"SWIRE UNCOMMITTED ON PROPOSED NEW H.K. AIRPORT","",0,Neutral
224,"CENTRAL BANKS BUY DOLLARS FOR YEN IN LONDON","",0,Neutral
225,"BRAZIL, BANKS FAIL TO MAKE BREAKTHROUGH IN DEBT TALKS","BREAKTHROUGH, DEBT, FAIL",-1,Negative
226,"CHINA MUST REFORM IRRATIONAL PRICE SYSTEM, ZHAO","IRRATIONAL, REFORM",0,Neutral
227,"SEVERE DROUGHT AFFECTS EAST, NORTHEAST THAILAND","SEVERE, DROUGHT",-2,Negative
229,"OCEAN TRANSPORT AND TRADING PLC <OTTL.L> YEAR 1986","",0,Neutral
230,"DART GROUP RAISES SUPERMARKETS GENERAL <SGL> BID","BID",-1,Negative
231,"OLSON INDUSTRIES INC <OLSN> 4TH QTR NET","",0,Neutral
232,"OLSON <OLSN> TO HAVE LOSS FROM EGG UNIT SALE","LOSS",-1,Negative
233,"JEFFERIES <JEFG> SETS SUPERMARKETS <SGL> MARKET","",0,Neutral
234,"E.D. And F. MAN TO BUY INTO HONG KONG FIRM","",0,Neutral
235,"ORACLE CORP <ORCL> 3RD QTR FEB 28 NET","",0,Neutral
236,"DISNEY <DIS> OPENING EXPERIMENTAL RETAIL OUTLET","",0,Neutral
237,"ENTERRA CORP <EN> 4TH QTR LOSS","LOSS",-1,Negative
238,"JOHNSTOWN/CONSOLIDATED REALTY TRUST <JCT> NET","TRUST",1,Positive
239,"DURIRON <DURI> COMPLETES VALTEK <VALT> PURCHASE","",0,Neutral
240,"WASHINGTON FEDERAL SAVINGS <WFSL> QUARTERLY DIV","SAVINGS",1,Positive
241,"SINGER <SMF> GETS TEXAS AIR <TEX> CONTRACT","",0,Neutral
242,"ROWLEY-SCHER <RSCH> TO HAVE LOSS FOR YEAR","LOSS",-1,Negative
243,"DIXONS SAID IT GOT AND ACCEPTED ONLY 20 PCT OF CYCLOPS SHARES IN TENDER","TENDER",1,Positive
244,"LONDON ON RISE AS TRADING CENTRE IN U.S. DEBT","DEBT",-1,Negative
245,"MATSUSHITA TO ISSUE 200 BILLION YEN CONVERTIBLE","ISSUE",1,Positive
246,"DIXONS GETS ONLY 20 PCT OF CYCLOPS <CYL> IN BID","BID",-1,Negative
247,"OPPOSITION SAYS UK GOV'T GAVE ARMS TO CONTRAS","OPPOSITION",-1,Negative
248,"BRAZIL ANNOUNCES NEW PLANNING MINISTER","",0,Neutral
249,"CITIBANK LAUNCHES CURRENCY WARRANTS","",0,Neutral
250,"KAUFMAN AND BROAD HOME CORP <KBH> 1ST QTR FEB 28","",0,Neutral
251,"METRO CABLE <METO> TO SELL PARTNERSHIP","",0,Neutral
252,"RENOUF HAS 93.4 PCT OF BENEQUITY <BH> UNITS","",0,Neutral
253,"OIL ANALYST SEES PAPUA NEW GUINEA AS GOOD PROSPECT","GOOD",1,Positive
254,"CHINA TO TIGHTEN IMPORT CONTROL, CUT EXPORT COST","COST",1,Positive
255,"USAIR GROUP INC <U> SETS QUARTERLY","",0,Neutral
256,"CHINA MUST CUT DEMAND, CONTINUE REFORMS: ZHAO","",0,Neutral
257,"YUGOSLAVIA SEEKS 600 MLN ECU LOAN FROM EC","",0,Neutral
258,"MCFARLAND <MCFE> TO BUY PETROMINERALS <PTRO>","",0,Neutral
259,"TIMMINCO ACQUIRES UNIVERSAL ADHESIVES","",0,Neutral
260,"<PALOMA PETROLEUM LTD> YEAR NET","",0,Neutral
261,"U.K. MONEY MARKET SURPLUS REVISED TO 250 MLN STG","",0,Neutral
262,"<TECHNIMED CORP> GETS FDA APPROVAL FOR DRUG","APPROVAL",1,Positive
263,"<AMERICAN RESOURCE CORP LTD> YEAR NET","",0,Neutral
264,"WASTE MANAGEMENT ENDS TENDER OFFER FOR CHEMLAWN","TENDER",1,Positive
265,"WEST GERMAN JAN COFFEE IMPORTS DOWN ON YEAR-AGO","",0,Neutral
266,"ONE VALLEY BANCORP <OVWV> RAISES QUARTERLY","ONE",-1,Negative
267,"NATIONAL DATA CORP <NDTA> 3RD QTR FEB 28 NET","",0,Neutral
268,"NVHOMES <NVH> SETS TWO-FOR-ONE SPLIT","SPLIT",-1,Negative
269,"AMERICAN RESOURCE SETS RIGHTS OFFERING","",0,Neutral
270,"VANGUARD TECHNOLOGIES INTERNATIONAL INC <VTI>","",0,Neutral
271,"THOMSON MCKINNON U.S. GOVERNMENT FUND DIVIDEND","",0,Neutral
272,"THOMSON MCKINNON INCOME FUND DIVIDEND","",0,Neutral
273,"(OAKRIDGE HOLDINGS INC) 2ND QTR DEC 31 NET","",0,Neutral
274,"GENERAL COMPUTER CORP <GCCC> 3RD QTR FEB 28 NET","",0,Neutral
275,"UK EQUITIES SEEN DUE FOR DOWNWARD CORRECTION","",0,Neutral
276,"ENSERCH ISSUES 100 MLN DLR CONVERTIBLE BOND","ISSUES",-1,Negative
277,"BRIERLEY OFFER FOR PROGRESSIVE STILL VALID","PROGRESSIVE",1,Positive
278,"AVATAR HOLDINGS INC <AVTR> YEAR NET","",0,Neutral
279,"NORWAY OFFERS 11TH LICENCE ROUND OFFSHORE BLOCKS","",0,Neutral
280,"PERCEPTION TECHNOLOGY <PCEP> TO TAKE CHARGE","",0,Neutral
281,"INSPECTORATE ISSUES 200 MLN MARK EQUITY EUROBOND","ISSUES",-1,Negative
282,"Bundesbank buys dollars for yen - Frankfurt dealers","",0,Neutral
283,"REUTERS TO BUY I P SHARP OF CANADA","SHARP",1,Positive
284,"HORIZON BANK <HRZB> SETS STOCK SPLIT","SPLIT",-1,Negative
285,"WASTE <WMX> ENDS OFFER FOR CHEMLAWN <CHEM>","",0,Neutral
286,"CORE-MARK INTERNATIONAL NAMES ACTING CHAIRMAN","",0,Neutral
287,"<ACKERLY COMMUNICATIONS INC> YEAR LOSS","LOSS",-1,Negative
288,"UNITED MEDICAL <UM> TO SELL UNIT","",0,Neutral
289,"REXNORD <REX> TO CUT STAFF TO 50 FROM 112","",0,Neutral
290,"CCC ACCEPTS BONUS BID ON CATTLE FOR EGYPT - USDA","BONUS, BID",0,Neutral
291,"INTEL <INTC> UNIT SELLS NOTES AT 8.18 PCT","",0,Neutral
292,"SPAIN'S SOCIALIST TRADE UNION PUSHES FOR WAGE HIKE","",0,Neutral
293,"THATCHER DEFENDS UK OIL POLICY IN SAUDI INTERVIEW","",0,Neutral
294,"MARCH PRICES FELL IN GERMAN STATE ON YEAR-AGO","STATE, FELL",0,Neutral
295,"BUNDESBANK BUYS DOLLARS IN FRANKFURT - DEALERS","",0,Neutral
296,"CROSSLAND SAVINGS <CRLD>ACQUIRES WESTERN SAVINGS","SAVINGS",2,Positive
297,"GENERAL ELECTRIC <GE> SELLS RIGHTS TO TECHNIQUE","",0,Neutral
298,"CPC <CPC> EXPECTS EUROPEAN SALE TO CUT DEBT","DEBT",-1,Negative
299,"BANK OF ENGLAND DRAINS MONEY MARKET LIQUIDITY","DRAINS",-1,Negative
300,"H.K. OFFICIAL DEFENDS NON-PROSECUTION OF BOND","",0,Neutral
301,"VICORP RESTAURANTS INC <VRES> 1ST QTR FEB 15 NET","",0,Neutral
302,"COMMERZBANK TO ACQUIRE AND FLOAT LINOTYPE","",0,Neutral
303,"VICORP <VRES> ENDS SALE/LEASEBACK DEAL","",0,Neutral
304,"EC EXPORT LICENCES FOR 59,000 TONNES WHITE  SUGAR AT REBATE 45.678 ECUS - FRENCH TRADERS","SUGAR",-1,Negative
305,"U.K. INTERVENTION BOARD DETAILS EC SUGAR SALES","SUGAR",-1,Negative
306,"PIONEER-STANDARD ELECTRONICS INC <PIOS> PAYOUT","",0,Neutral
